level,state,district
fed-lower,AK,1
fed-lower,AL,1
fed-lower,AL,2
fed-lower,AL,3
fed-lower,AL,4
fed-lower,AL,5
fed-lower,AL,6
fed-lower,AL,7
fed-lower,AR,1
fed-lower,AR,2
fed-lower,AR,3
fed-lower,AR,4
fed-lower,AZ,1
fed-lower,AZ,2
fed-lower,AZ,3
fed-lower,AZ,4
fed-lower,AZ,5
fed-lower,AZ,6
fed-lower,AZ,7
fed-lower,AZ,8
fed-lower,AZ,9
fed-lower,CA,1
fed-lower,CA,2
fed-lower,CA,3
fed-lower,CA,4
fed-lower,CA,5
fed-lower,CA,6
fed-lower,CA,7
fed-lower,CA,8
fed-lower,CA,9
fed-lower,CA,10
fed-lower,CA,11
fed-lower,CA,12
fed-lower,CA,13
fed-lower,CA,14
fed-lower,CA,15
fed-lower,CA,16
fed-lower,CA,17
fed-lower,CA,18
fed-lower,CA,19
fed-lower,CA,20
fed-lower,CA,21
fed-lower,CA,22
fed-lower,CA,23
fed-lower,CA,24
fed-lower,CA,25
fed-lower,CA,26
fed-lower,CA,27
fed-lower,CA,28
fed-lower,CA,29
fed-lower,CA,30
fed-lower,CA,31
fed-lower,CA,32
fed-lower,CA,33
fed-lower,CA,34
fed-lower,CA,35
fed-lower,CA,36
fed-lower,CA,37
fed-lower,CA,38
fed-lower,CA,39
fed-lower,CA,40
fed-lower,CA,41
fed-lower,CA,42
fed-lower,CA,43
fed-lower,CA,44
fed-lower,CA,45
fed-lower,CA,46
fed-lower,CA,47
fed-lower,CA,48
fed-lower,CA,49
fed-lower,CA,50
fed-lower,CA,51
fed-lower,CA,52
fed-lower,CA,53
fed-lower,CO,1
fed-lower,CO,2
fed-lower,CO,3
fed-lower,CO,4
fed-lower,CO,5
fed-lower,CO,6
fed-lower,CO,7
fed-lower,CT,1
fed-lower,CT,2
fed-lower,CT,3
fed-lower,CT,4
fed-lower,CT,5
fed-lower,DC,1
fed-lower,DE,1
fed-lower,FL,1
fed-lower,FL,2
fed-lower,FL,3
fed-lower,FL,4
fed-lower,FL,5
fed-lower,FL,6
fed-lower,FL,7
fed-lower,FL,8
fed-lower,FL,9
fed-lower,FL,10
fed-lower,FL,11
fed-lower,FL,12
fed-lower,FL,13
fed-lower,FL,14
fed-lower,FL,15
fed-lower,FL,16
fed-lower,FL,17
fed-lower,FL,18
fed-lower,FL,19
fed-lower,FL,20
fed-lower,FL,21
fed-lower,FL,22
fed-lower,FL,23
fed-lower,FL,24
fed-lower,FL,25
fed-lower,FL,26
fed-lower,FL,27
fed-lower,GA,1
fed-lower,GA,2
fed-lower,GA,3
fed-lower,GA,4
fed-lower,GA,5
fed-lower,GA,6
fed-lower,GA,7
fed-lower,GA,8
fed-lower,GA,9
fed-lower,GA,10
fed-lower,GA,11
fed-lower,GA,12
fed-lower,GA,13
fed-lower,GA,14
fed-lower,HI,1
fed-lower,HI,2
fed-lower,IA,1
fed-lower,IA,2
fed-lower,IA,3
fed-lower,IA,4
fed-lower,ID,1
fed-lower,ID,2
fed-lower,IL,1
fed-lower,IL,2
fed-lower,IL,3
fed-lower,IL,4
fed-lower,IL,5
fed-lower,IL,6
fed-lower,IL,7
fed-lower,IL,8
fed-lower,IL,9
fed-lower,IL,10
fed-lower,IL,11
fed-lower,IL,12
fed-lower,IL,13
fed-lower,IL,14
fed-lower,IL,15
fed-lower,IL,16
fed-lower,IL,17
fed-lower,IL,18
fed-lower,IN,1
fed-lower,IN,2
fed-lower,IN,3
fed-lower,IN,4
fed-lower,IN,5
fed-lower,IN,6
fed-lower,IN,7
fed-lower,IN,8
fed-lower,IN,9
fed-lower,KS,1
fed-lower,KS,2
fed-lower,KS,3
fed-lower,KS,4
fed-lower,KY,1
fed-lower,KY,2
fed-lower,KY,3
fed-lower,KY,4
fed-lower,KY,5
fed-lower,KY,6
fed-lower,LA,1
fed-lower,LA,2
fed-lower,LA,3
fed-lower,LA,4
fed-lower,LA,5
fed-lower,LA,6
fed-lower,MA,1
fed-lower,MA,2
fed-lower,MA,3
fed-lower,MA,4
fed-lower,MA,5
fed-lower,MA,6
fed-lower,MA,7
fed-lower,MA,8
fed-lower,MA,9
fed-lower,MD,1
fed-lower,MD,2
fed-lower,MD,3
fed-lower,MD,4
fed-lower,MD,5
fed-lower,MD,6
fed-lower,MD,7
fed-lower,MD,8
fed-lower,ME,1
fed-lower,ME,2
fed-lower,MI,1
fed-lower,MI,2
fed-lower,MI,3
fed-lower,MI,4
fed-lower,MI,5
fed-lower,MI,6
fed-lower,MI,7
fed-lower,MI,8
fed-lower,MI,9
fed-lower,MI,10
fed-lower,MI,11
fed-lower,MI,12
fed-lower,MI,13
fed-lower,MI,14
fed-lower,MN,1
fed-lower,MN,2
fed-lower,MN,3
fed-lower,MN,4
fed-lower,MN,5
fed-lower,MN,6
fed-lower,MN,7
fed-lower,MN,8
fed-lower,MO,1
fed-lower,MO,2
fed-lower,MO,3
fed-lower,MO,4
fed-lower,MO,5
fed-lower,MO,6
fed-lower,MO,7
fed-lower,MO,8
fed-lower,MS,1
fed-lower,MS,2
fed-lower,MS,3
fed-lower,MS,4
fed-lower,MT,1
fed-lower,NC,1
fed-lower,NC,2
fed-lower,NC,3
fed-lower,NC,4
fed-lower,NC,5
fed-lower,NC,6
fed-lower,NC,7
fed-lower,NC,8
fed-lower,NC,9
fed-lower,NC,10
fed-lower,NC,11
fed-lower,NC,12
fed-lower,NC,13
fed-lower,ND,1
fed-lower,NE,1
fed-lower,NE,2
fed-lower,NE,3
fed-lower,NH,1
fed-lower,NH,2
fed-lower,NJ,1
fed-lower,NJ,2
fed-lower,NJ,3
fed-lower,NJ,4
fed-lower,NJ,5
fed-lower,NJ,6
fed-lower,NJ,7
fed-lower,NJ,8
fed-lower,NJ,9
fed-lower,NJ,10
fed-lower,NJ,11
fed-lower,NJ,12
fed-lower,NM,1
fed-lower,NM,2
fed-lower,NM,3
fed-lower,NV,1
fed-lower,NV,2
fed-lower,NV,3
fed-lower,NV,4
fed-lower,NY,1
fed-lower,NY,2
fed-lower,NY,3
fed-lower,NY,4
fed-lower,NY,5
fed-lower,NY,6
fed-lower,NY,7
fed-lower,NY,8
fed-lower,NY,9
fed-lower,NY,10
fed-lower,NY,11
fed-lower,NY,12
fed-lower,NY,13
fed-lower,NY,14
fed-lower,NY,15
fed-lower,NY,16
fed-lower,NY,17
fed-lower,NY,18
fed-lower,NY,19
fed-lower,NY,20
fed-lower,NY,21
fed-lower,NY,22
fed-lower,NY,23
fed-lower,NY,24
fed-lower,NY,25
fed-lower,NY,26
fed-lower,NY,27
fed-lower,OH,1
fed-lower,OH,2
fed-lower,OH,3
fed-lower,OH,4
fed-lower,OH,5
fed-lower,OH,6
fed-lower,OH,7
fed-lower,OH,8
fed-lower,OH,9
fed-lower,OH,10
fed-lower,OH,11
fed-lower,OH,12
fed-lower,OH,13
fed-lower,OH,14
fed-lower,OH,15
fed-lower,OH,16
fed-lower,OK,1
fed-lower,OK,2
fed-lower,OK,3
fed-lower,OK,4
fed-lower,OK,5
fed-lower,OR,1
fed-lower,OR,2
fed-lower,OR,3
fed-lower,OR,4
fed-lower,OR,5
fed-lower,PA,1
fed-lower,PA,2
fed-lower,PA,3
fed-lower,PA,4
fed-lower,PA,5
fed-lower,PA,6
fed-lower,PA,7
fed-lower,PA,8
fed-lower,PA,9
fed-lower,PA,10
fed-lower,PA,11
fed-lower,PA,12
fed-lower,PA,13
fed-lower,PA,14
fed-lower,PA,15
fed-lower,PA,16
fed-lower,PA,17
fed-lower,PA,18
fed-lower,RI,1
fed-lower,RI,2
fed-lower,SC,1
fed-lower,SC,2
fed-lower,SC,3
fed-lower,SC,4
fed-lower,SC,5
fed-lower,SC,6
fed-lower,SC,7
fed-lower,SD,1
fed-lower,TN,1
fed-lower,TN,2
fed-lower,TN,3
fed-lower,TN,4
fed-lower,TN,5
fed-lower,TN,6
fed-lower,TN,7
fed-lower,TN,8
fed-lower,TN,9
fed-lower,TX,1
fed-lower,TX,2
fed-lower,TX,3
fed-lower,TX,4
